unique_id,COG category,COG_FUNCTION_ACC,COG_FUNCTION,Variable Importance,Marinobacter_sp_X15_166B,Marinobacter_zhejiangensis_CGMCC_1_7061,Marinobacter_mobilis_GCMCC_1_7059,Marinobacter_lipolyticus_SM19,Marinobacter_sp_FDB33,Marinobacter_sp_HL_58,Marinobacter_algicola_DG893,Marinobacter_sp_CPC8,Marinobacter_sp_C18,Marinobacter_sp_HK15,Marinobacter_salarius_SMR5,Marinobacter_sp_LQ44,Marinobacter_excellens_LAMA_842,Marinobacter_hydrocarbonoclasticus_STW2,Marinobacter_sp_ES_1,Marinobacter_vinifirmus_FB1,Marinobacter_sp_P4B1,Marinobacter_sp_tcs_11,Marinobacter_sp_EVN1,Marinobacter_sp_C1S70,Marinobacter_sp_EN3,Marinobacter_hydrocarbonoclasticus_ASM1536,Marinobacter_hydrocarbonoclasticus_ATCC_49840,Marinobacter_sp_BSs20148,Marinobacter_psychrophilus_20041,Marinobacter_aromaticivorans_strain_D15_8P,Marinobacter_salexigens_strain_HJR7,Marinobacter_sp_LV10R510_8,Marinobacter_sp_LV10R510_11A,Marinobacter_sp_ANT_B65,Marinobacter_antarcticus_CGMCC1_10835,Marinobacter_adhaerens_strain_PBVC038,Marinobacter_sp_EhN04,Marinobacter_sp_EhC06,Marinobacter_sp_ES_048,Marinobacter_sp_ES_042,Marinobacter_adhaerens_HP15,Marinobacter_manganoxydans_MnI7_9,Marinobacter_flavimaris,Marinobacter_sp_CP1
PC_00003249,,,,0.181268194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00003161,,,,0.175019902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00003165,R,COG0658|COG2333,Predicted membrane metal-binding protein|Metal-dependent hydrolase - beta-lactamase superfamily II,0.17335906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00006060,,,,0.142486851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006354,,,,0.141740684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005485,H,COG1521,Pantothenate kinase type III,0.140106005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005695,O,COG2168,Sulfur transfer complex TusBCD TusB component - DsrH family,0.140084708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006323,,,,0.139644926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006092,,,,0.139330423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005890,,,,0.138878233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006801,,,,0.138774801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005265,O,COG0330,Regulator of protease activity HflC - stomatin/prohibitin superfamily,0.137030515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005847,E,COG3138,Arginine/ornithine N-succinyltransferase beta subunit,0.136947174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005942,,,,0.135733961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005907,R,COG0457,Tetratricopeptide (TPR) repeat,0.135477226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006075,,,,0.135438406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005923,T,COG0784|COG2202|COG2202|COG2202|COG2205,CheY chemotaxis protein or a CheY-like REC (receiver) domain|PAS domain|PAS domain|PAS domain|K+-sensing histidine kinase KdpD,0.134803446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005595,F,COG1051,ADP-ribose pyrophosphatase YjhB - NUDIX family,0.134279974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006228,D,COG1426,Cytoskeletal protein RodZ - contains Xre-like HTH and DUF4115 domains,0.133910669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005571,S,COG1422,Uncharacterized archaeal membrane protein - DUF106 family - distantly related to YidC/Oxa1,0.133877112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005836,,,,0.132870837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005896,,,,0.132826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005918,,,,0.130802087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006248,,,,0.127427416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00006045,,,,0.125101326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005191,Q,COG2050,Acyl-coenzyme A thioesterase PaaI - contains HGG motif,0.124176525,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005295,M,COG0438,Glycosyltransferase involved in cell wall bisynthesis,0.123972767,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005226,M,COG0810,Periplasmic protein TonB - links inner and outer membranes,0.122534094,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005168,I,COG2267,Lysophospholipase - alpha-beta hydrolase superfamily,0.120503205,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00002350,G,COG2814,Predicted arabinose efflux permease - MFS family,0.118708674,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
PC_00005284,Q,COG3653,N-acyl-D-aspartate/D-glutamate deacylase,0.117928718,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005307,,,,0.117778829,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005278,Q,COG3127,Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis - permease component,0.116231746,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005167,N,COG2063,Flagellar basal body L-ring protein FlgH,0.115357956,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005287,R,COG3218,ABC-type uncharacterized transport system - auxiliary component,0.114916521,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00003832,C,COG0243,Anaerobic selenocysteine-containing dehydrogenase,0.114812622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
PC_00005242,R,COG2304,Secreted protein containing bacterial Ig-like domain and vWFA domain,0.114248927,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005166,O,COG3187,Heat shock protein HslJ,0.11376258,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00004976,T,COG0790,TPR repeat,0.113650293,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005368,,,,0.113498278,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00004784,T,COG2199,GGDEF domain - diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants,0.112583725,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00001897,J,COG2606,Cys-tRNA(Pro) deacylase - prolyl-tRNA editing enzyme YbaK/EbsC,0.111880162,1,1,2,1,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00005346,,,,0.111453097,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005201,R,COG0457,Tetratricopeptide (TPR) repeat,0.110435162,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005173,,,,0.109808471,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00003668,,,,0.109755053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
PC_00005190,,,,0.108281491,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005029,H,COG2068,CTP:molybdopterin cytidylyltransferase MocA,0.106978114,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00005397,S,COG5589,Uncharacterized protein,0.105526953,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00003654,R,COG2105,Uncharacterized conserved protein YtfP - gamma-glutamylcyclotransferase (GGCT)/AIG2-like family,0.104700745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1
PC_00003772,T,COG2199|COG3300,GGDEF domain - diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants|MHYT domain - NO-binding membrane sensor,0.104540128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
PC_00005351,,,,0.103967062,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00002141,S,COG3123,Uncharacterized conserved protein YaiE - UPF0345 family,0.101665194,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
PC_00005288,,,,0.100914125,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00003745,S,COG5470,Uncharacterized conserved protein - DUF1330 family,0.099818444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
PC_00003512,G,COG3387,Glucoamylase (glucan-1 -4-alpha-glucosidase) - GH15 family,0.098428909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
PC_00004033,Q,COG2015,Alkyl sulfatase BDS1 and related hydrolases - metallo-beta-lactamase superfamily,0.095980679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1
PC_00003912,P,COG0288,Carbonic anhydrase,0.09393126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
PC_00003136,K|T,COG3706,Two-component response regulator - PleD family - consists of two REC domains and a diguanylate cyclase (GGDEF) domain,0.092181017,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
PC_00003839,R|I,COG2303,Choline dehydrogenase or related flavoprotein,0.092019937,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1
PC_00003656,,,,0.087055394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
PC_00002444,,,,0.083537593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
PC_00004134,C,COG0277,FAD/FMN-containing dehydrogenase,0.08068123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,1,1
PC_00004373,S,COG1422,Uncharacterized archaeal membrane protein - DUF106 family - distantly related to YidC/Oxa1,0.078957569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
PC_00004203,K,COG4977,Transcriptional regulator GlxA family - contains an amidase domain and an AraC-type DNA-binding HTH domain,0.077110148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
PC_00006126,,,,0.07699297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00004596,,,,0.076505833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
PC_00004081,,,,0.075599905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
PC_00003319,R,COG1752,Predicted acylesterase/phospholipase RssA - containd patatin domain,0.07451811,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
PC_00004011,,,,0.072797218,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_00003760,R,COG0457,Tetratricopeptide (TPR) repeat,0.070764547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
PC_00004155,,,,0.069536432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
PC_00006459,I,COG0824,Acyl-CoA thioesterase FadM,0.068858348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
PC_00000085,H,COG2227,2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1 -4-benzoquinol methylase,0.068510447,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3
PC_00003558,G,COG0149,Triosephosphate isomerase,0.067670064,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
PC_00006084,,,,0.06668263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
PC_00002740,P,COG0428,Zinc transporter ZupT,0.066326611,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00003555,,,,0.066118166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00003412,M,COG3203,Outer membrane protein (porin),0.064815807,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
PC_00005948,,,,0.064205409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
PC_00005810,,,,0.064095085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
PC_00005933,,,,0.062963068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
